image,minifigs,model,name,pieces,price
https://images.brickset.com/sets/small/10270-1.jpg?201912060155,5,10270: , Bookshop,2504,179.99
https://images.brickset.com/sets/small/10271-1.jpg?202003310820,,10271: , Fiat 500,960,179.99
https://images.brickset.com/sets/small/10272-1.jpg?202001130159,,10272: , Old Trafford - Manchester United,3898,179.99
https://images.brickset.com/sets/small/10273-1.jpg?202005130214,10,10273: , Haunted House,3231,179.99
/assets/images/misc/blankbox.gif,,10274: , {?},,179.99
https://images.brickset.com/sets/small/10275-1.jpg?202005110757,,10275: , Elf Club House,More,179.99
/assets/images/misc/blankbox.gif,,10276: , {?},,179.99
https://images.brickset.com/sets/small/10277-1.jpg?202006191042,2,10277: , Crocodile Locomotive,1271,179.99
https://images.brickset.com/sets/small/10909-1.jpg?201912050531,,10909: , Heart Box,80,179.99
https://images.brickset.com/sets/small/10913-1.jpg?201912050531,2,10913: , Brick Box,65,179.99
https://images.brickset.com/sets/small/10914-1.jpg?201912050531,,10914: , Deluxe Brick Box,85,179.99
https://images.brickset.com/sets/small/10915-1.jpg?201912050531,2,10915: , Alphabet Truck,36,179.99
https://images.brickset.com/sets/small/10917-1.jpg?201912050531,,10917: , Fire Truck,6,179.99
https://images.brickset.com/sets/small/10918-1.jpg?201912050531,,10918: , Tow Truck,7,179.99
https://images.brickset.com/sets/small/10919-1.jpg?202005270826,3,10919: , Batcave,33,179.99
https://images.brickset.com/sets/small/10920-1.jpg?201912100958,2,10920: , Elsa and Olaf's Tea Party,17,179.99
https://images.brickset.com/sets/small/10921-1.jpg?201912100958,3,10921: , Super Heroes Lab,30,179.99
https://images.brickset.com/sets/small/10922-1.jpg?202005270831,1,10922: , Ariel's Undersea Castle,35,179.99
https://images.brickset.com/sets/small/10924-1.jpg?202005270831,,10924: , Lightning McQueen's Race Day,42,179.99
https://images.brickset.com/sets/small/10925-1.jpg?201912050531,2,10925: , Playroom,17,179.99
https://images.brickset.com/sets/small/10926-1.jpg?201912050531,2,10926: , Bedroom,16,179.99
https://images.brickset.com/sets/small/10927-1.jpg?201912050531,1,10927: , Pizza Stand,18,179.99
https://images.brickset.com/sets/small/10928-1.jpg?201912050531,2,10928: , Bakery,46,179.99
https://images.brickset.com/sets/small/10929-1.jpg?201912050531,3,10929: , Modular Playhouse,129,179.99
https://images.brickset.com/sets/small/10930-1.jpg?202005210856,1,10930: , Bulldozer,10,179.99
https://images.brickset.com/sets/small/40370-1.jpg?202003021113,1,40370: , LEGO® Trains 40th Anniversary Set,188,12.99
https://images.brickset.com/sets/small/40371-1.jpg?202003020943,,40371: , Easter Egg,239,12.99
https://images.brickset.com/sets/small/40372-1.jpg?201912050531,4,40372: , Police MF Accessory Set,42,12.99
https://images.brickset.com/sets/small/40373-1.jpg?202002170859,4,40373: , Fairground Accessory Set,51,12.99
